time_stamp,status,test,msg
2024-03-01 09:00:05,PASS,NVMe_Device_Detection,Device found at PCIe slot 3
2024-03-01 09:00:18,FAIL,NVMe_Link_Speed,Expected Gen3x4 got Gen2x4
2024-03-01 09:00:25,ERROR,PCIe_Enumeration,Device not enumerated after reset
2024-03-01 09:00:38,WARN,TPM_Provisioning,TPM response time exceeded
2024-03-01 09:00:45,FAIL,NVMe_Read_Speed,Read speed below threshold
2024-03-01 09:01:00,PASS,WLAN_Detection,WLAN adapter found
2024-03-01 09:01:07,FAIL,SATA_Write_Speed,Write speed below threshold
2024-03-01 09:01:21,ERROR,PCIe_Enumeration,Device not enumerated after reset
2024-03-01 09:01:35,PASS,TPM_Detection,TPM 2.0 device detected
2024-03-01 09:01:42,FAIL,NVMe_Link_Speed,Expected Gen3x4 got Gen2x4
